GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-7-19,21,17,13,13,12,10,94,74,56,1027,1026,1023,10,9,5,23,16,,0.00,3,,21
1997-7-20,22,16,11,13,11,9,100,72,43,1027,1026,1024,10,6,0,13,8,,0.00,4,Fog,30
1997-7-21,21,16,11,14,12,9,100,79,49,1025,1024,1022,10,6,0,19,8,,0.00,1,Fog,30
1997-7-22,23,17,12,13,11,8,100,72,41,1022,1021,1019,10,5,1,13,8,,0.00,4,Fog,18
1997-7-23,25,20,15,14,12,9,82,63,36,1020,1019,1017,10,9,7,13,5,,0.00,2,Fog,225
1997-7-24,23,19,16,16,12,8,94,64,53,1016,1013,1009,10,9,5,27,14,,0.00,3,Rain,238
1997-7-25,22,17,13,13,11,9,88,65,43,1015,1011,1009,10,10,10,34,24,,0.00,5,,306
1997-7-26,19,16,12,18,14,9,94,85,64,1016,1014,1011,10,7,1,27,13,,0.00,5,Fog-Rain,227
1997-7-27,22,18,14,14,11,9,88,65,46,1021,1018,1012,10,10,10,32,23,,0.00,3,Rain,297
1997-7-28,22,17,12,13,12,10,88,68,50,1022,1022,1021,10,10,10,16,11,,0.00,4,,289
1997-7-29,26,20,14,14,12,10,82,61,39,1022,1020,1016,10,10,10,21,8,,0.00,3,,208
1997-7-30,22,18,14,15,12,9,100,69,46,1017,1015,997,10,9,5,37,19,40,0.00,4,Rain,256
1997-7-31,16,14,13,14,12,10,100,89,77,1016,1015,1015,10,7,3,32,21,,0.00,5,Rain,260
1997-8-1,22,18,14,19,16,13,100,91,78,1015,1013,1012,10,7,4,27,18,,0.00,6,Rain,264
1997-8-2,20,16,12,15,11,9,94,72,52,1019,1018,1016,10,10,10,19,11,,0.00,5,,340
1997-8-3,19,16,12,14,13,11,100,82,64,1019,1019,1018,10,8,0,21,11,,0.00,4,Fog-Rain,88
1997-8-4,20,17,13,15,13,11,100,79,64,1020,1019,1019,10,10,7,32,21,,0.00,5,Rain,78
1997-8-5,23,18,14,14,12,9,94,71,44,1021,1019,1017,10,10,10,32,23,48,0.00,4,,70
1997-8-6,26,20,14,16,14,11,100,72,41,1017,1015,1014,10,6,1,34,18,,0.00,4,,75
1997-8-7,27,21,15,17,14,11,100,67,41,1017,1016,1015,9,6,4,27,18,,0.00,3,,66
1997-8-8,29,22,15,18,16,14,94,67,40,1018,1017,1016,8,5,4,14,8,,0.00,0,,43
1997-8-9,28,23,18,18,17,14,94,74,42,1020,1019,1018,9,4,3,13,11,,0.00,1,,283
1997-8-10,30,24,18,18,14,10,88,60,33,1019,1017,1014,10,6,5,29,11,,0.00,1,,126
1997-8-11,30,25,20,18,16,15,78,64,40,1018,1015,1013,9,7,4,19,16,,0.00,4,,115
1997-8-12,29,23,18,22,18,16,94,77,58,1022,1020,1019,10,7,5,19,11,,0.00,1,,278
1997-8-13,26,22,19,20,18,17,100,83,65,1023,1021,1020,10,8,2,26,13,,0.00,5,Rain-Thunderstorm,252
1997-8-14,29,22,15,19,16,7,100,79,25,1024,1022,1021,10,9,7,16,11,,0.00,2,,285
1997-8-15,28,21,15,20,17,13,88,76,58,1022,1021,1020,10,10,10,14,10,,0.00,2,,232
1997-8-16,28,21,14,20,17,14,100,81,58,1021,1020,1017,9,7,5,19,8,,0.00,0,Fog,168
1997-8-17,26,21,17,20,18,16,94,81,65,1019,1018,1018,8,6,4,16,5,,0.00,2,,211
1997-8-18,29,23,17,22,18,16,100,77,58,1019,1018,1018,10,7,4,34,8,,0.00,3,,155
1997-8-19,29,22,16,22,18,15,100,77,55,1019,1018,1017,10,5,1,19,11,,0.00,0,Fog,127
1997-8-20,27,21,16,20,17,14,94,76,61,1018,1017,1017,9,7,5,19,11,,0.00,3,,145
1997-8-21,24,20,17,20,18,15,94,83,73,1017,1017,1016,10,9,5,23,13,,0.00,3,Rain,218
1997-8-22,25,22,19,20,18,18,100,85,65,1019,1018,1017,10,10,6,14,10,,0.00,5,Rain,255
1997-8-23,25,22,19,21,19,17,100,88,78,1018,1014,1012,10,9,5,24,11,,0.00,5,,217
1997-8-24,23,20,17,20,18,17,100,91,78,1013,1012,1011,10,9,4,21,11,,0.00,5,Rain,241
1997-8-25,20,18,16,18,17,14,100,91,78,1011,1009,1008,10,8,1,32,8,,0.00,5,Fog-Rain,271
1997-8-26,20,16,11,13,12,10,100,76,56,1012,1010,1007,10,10,10,21,13,,0.00,4,,225
1997-8-27,18,16,13,16,13,10,94,89,77,1006,1000,997,10,7,4,27,14,,0.00,4,Rain,163
1997-8-28,18,14,11,13,12,9,100,84,56,999,996,994,10,9,3,32,11,,0.00,4,Fog-Rain-Thunderstorm,192
1997-8-29,19,16,13,13,10,6,94,70,43,1011,1006,998,10,10,10,37,27,52,0.00,5,Rain,237
1997-8-30,19,16,13,17,14,12,100,90,77,1015,1009,1004,10,8,0,27,16,,0.00,6,Rain,219
1997-8-31,22,17,13,17,13,12,94,83,64,1015,1011,1007,10,9,6,34,14,45,0.00,4,Rain,163
1997-9-1,20,17,14,13,11,9,88,70,49,1018,1014,1009,10,10,10,27,19,,0.00,5,,238
1997-9-2,19,14,11,12,11,9,94,77,56,1020,1019,1018,10,10,10,24,13,,0.00,2,,228
1997-9-3,18,16,14,14,13,12,94,85,72,1019,1016,1014,10,10,5,26,16,,0.00,4,Rain,198
1997-9-4,20,16,12,15,11,7,94,71,46,1019,1016,1015,10,10,5,27,16,,0.00,4,Rain,256
1997-9-5,18,14,11,12,11,9,94,81,59,1020,1019,1018,10,9,8,21,11,,0.00,4,Rain-Thunderstorm,237
1997-9-6,18,14,11,11,9,7,88,73,49,1023,1022,1021,10,10,10,29,18,,0.00,5,Rain,276
1997-9-7,20,17,13,13,12,10,94,79,64,1027,1025,1022,10,10,10,26,19,,0.00,4,Rain,287
1997-9-8,21,14,9,12,11,8,94,75,53,1027,1025,1024,10,10,10,24,14,,0.00,2,,298
1997-9-9,20,16,11,11,9,7,94,70,46,1027,1025,1024,10,10,10,26,16,,0.00,2,,351
1997-9-10,20,14,8,10,9,6,88,70,49,1027,1024,1020,10,10,8,14,6,,0.00,3,,188
1997-9-11,19,14,10,14,11,9,94,78,52,1019,1010,1004,10,9,7,19,11,,0.00,2,Rain,177
1997-9-12,17,13,9,13,9,4,94,75,48,1006,1004,1002,10,10,4,37,24,,0.00,3,Rain,249
1997-9-13,15,11,7,6,4,2,93,65,42,1021,1014,1007,10,10,10,42,23,,0.00,2,,277
1997-9-14,17,11,6,8,6,4,93,69,48,1024,1023,1021,10,10,10,27,18,,0.00,4,,253
1997-9-15,19,13,8,11,8,7,93,77,52,1024,1022,1020,10,10,10,34,14,,0.00,2,,216
1997-9-16,21,16,11,11,9,5,100,71,38,1021,1017,1015,10,8,4,35,18,,0.00,3,,218
1997-9-17,19,16,12,14,12,10,94,80,64,1023,1020,1016,10,10,6,19,11,,0.00,4,,263
1997-9-18,23,17,12,15,12,11,100,78,50,1023,1022,1021,10,4,0,14,8,,0.00,4,Fog-Rain,112
1997-9-19,16,14,13,15,12,10,100,91,77,1028,1026,1023,10,7,4,21,14,,0.00,6,Rain,69
1997-9-20,17,13,9,12,9,6,88,73,52,1029,1028,1027,10,10,10,24,18,,0.00,4,,99
1997-9-21,18,12,7,10,7,5,87,72,45,1027,1025,1024,10,10,10,24,13,,0.00,1,,86
1997-9-22,19,13,8,10,8,6,94,75,52,1026,1025,1024,9,8,6,21,13,,0.00,0,,73
1997-9-23,19,13,7,11,9,7,100,80,52,1028,1026,1025,10,7,2,23,14,,0.00,2,,68
1997-9-24,17,13,10,12,11,8,100,81,63,1028,1027,1026,10,9,5,23,14,,0.00,5,,63
1997-9-25,17,14,13,12,11,9,94,78,67,1028,1027,1026,10,10,6,21,13,,0.00,5,,51
1997-9-26,18,14,11,13,12,10,100,86,64,1028,1026,1023,9,5,1,24,18,,0.00,4,Fog,56
1997-9-27,17,14,12,12,12,10,94,83,68,1023,1019,1017,10,6,4,19,11,,0.00,6,,62
1997-9-28,19,14,10,12,11,10,100,81,60,1017,1016,1015,10,6,0,84,8,,0.00,4,,139
1997-9-29,22,16,11,15,12,10,100,81,53,1023,1020,1017,10,5,1,19,10,,0.00,3,Rain,243
1997-9-30,19,17,15,17,16,14,100,94,83,1024,1023,1021,10,5,1,26,8,,0.00,6,Fog-Rain,241
1997-10-1,22,18,15,16,14,12,100,82,60,1021,1018,1017,10,9,7,40,26,,0.00,3,,276
1997-10-2,18,14,10,12,9,7,88,73,55,1021,1019,1017,10,10,10,26,18,,0.00,3,,329
1997-10-3,17,12,8,13,9,6,94,76,55,1021,1020,1020,10,10,7,21,11,,0.00,5,,285
1997-10-4,19,14,11,13,11,10,100,80,56,1021,1020,1018,10,10,7,24,14,,0.00,3,,262
1997-10-5,17,13,10,11,9,8,94,80,55,1017,1014,1010,10,9,3,19,11,,0.00,5,,240
1997-10-6,20,15,10,15,12,9,100,89,52,1009,1001,996,8,4,0,19,11,,0.00,5,Fog-Rain,179
1997-10-7,14,12,11,14,10,6,100,86,59,1000,995,992,10,8,1,40,16,60,0.00,5,Rain,220
1997-10-8,17,13,10,16,13,8,100,93,87,1000,997,991,10,7,1,35,13,,0.00,6,Fog-Rain,201
1997-10-9,18,17,15,16,13,10,100,83,59,1003,998,991,10,10,5,50,29,80,0.00,5,Rain,232
1997-10-10,16,13,10,14,8,3,94,73,45,1008,1002,997,10,10,10,50,32,69,0.00,4,Rain,270
1997-10-11,10,9,8,9,8,7,100,90,82,1008,1003,996,9,5,3,26,19,,0.00,5,Rain,257
1997-10-12,11,8,6,8,4,0,100,74,47,1017,1010,998,10,10,4,35,24,40,0.00,4,Rain,339
1997-10-13,10,8,5,6,3,2,100,78,58,1024,1019,1015,10,10,10,93,21,47,0.00,4,Rain,318
1997-10-14,9,6,2,7,3,0,100,83,62,1025,1023,1015,10,7,2,23,18,,0.00,5,Rain,280
1997-10-15,11,9,8,11,9,7,100,95,88,1014,1011,1008,10,5,1,19,11,,0.00,6,Rain,4
1997-10-16,15,12,9,14,11,9,100,94,88,1013,1011,1009,10,5,2,19,11,,0.00,6,Rain,178
1997-10-17,18,14,11,14,12,9,100,86,64,1013,1010,1009,10,8,3,27,14,45,0.00,6,Rain,186
1997-10-18,20,15,10,15,12,9,100,87,68,1018,1016,1013,9,6,1,13,10,,0.00,0,Fog,172
1997-10-19,21,14,9,15,12,9,100,90,68,1017,1016,1014,9,3,0,23,8,,0.00,1,Fog,124
1997-10-20,12,10,9,12,8,3,100,85,66,1019,1017,1016,10,6,0,40,26,53,0.00,6,Fog,56
1997-10-21,11,7,4,4,2,-1,87,67,44,1019,1018,1016,10,10,10,37,26,,0.00,4,,82
1997-10-22,11,6,1,5,3,0,100,82,62,1016,1015,1014,10,9,5,23,13,,0.00,1,Fog,64
1997-10-23,10,7,3,7,3,1,93,80,62,1022,1018,1016,10,9,1,21,13,,0.00,5,Fog,30
1997-10-24,10,7,4,5,2,1,93,75,54,1029,1026,1021,10,10,10,19,13,,0.00,4,,17
1997-10-25,10,5,0,3,1,-2,93,77,54,1029,1028,1027,10,10,10,14,5,,0.00,0,,314
1997-10-26,11,6,2,7,3,0,100,79,58,1027,1026,1025,10,8,5,13,5,,0.00,2,,58
1997-10-27,12,7,3,8,4,-1,100,83,70,1030,1027,1025,10,6,2,26,13,,0.00,4,Fog,87
1997-10-28,8,4,1,1,-4,-10,87,60,27,1036,1033,1030,,,,29,19,,0.00,,,93
1997-10-29,9,3,-2,-2,-4,-8,87,61,30,1036,1035,1033,,,,27,10,,0.00,,,138
1997-10-30,10,5,0,2,-1,-4,81,67,50,1033,1032,1031,9,8,5,11,6,,0.00,2,,183
1997-10-31,11,6,1,3,-1,-4,81,62,43,1033,1031,1029,8,6,3,10,3,,0.00,0,,35
1997-11-1,11,6,1,6,2,-2,93,80,47,1029,1026,1023,8,5,0,10,3,,0.00,0,Fog,2
1997-11-2,11,6,0,8,4,-1,100,90,71,1022,1020,1019,6,3,0,11,5,,0.00,4,Fog,31
1997-11-3,10,8,7,8,6,4,100,88,76,1019,1015,1010,10,7,1,32,16,,0.00,6,Fog-Rain,79
1997-11-4,11,8,6,11,6,4,100,90,76,1009,1003,997,10,5,0,27,24,,0.00,4,Fog-Rain,111
1997-11-5,14,12,11,11,10,8,100,87,67,997,992,984,10,9,2,29,21,,0.00,6,Rain,177
1997-11-6,12,10,8,11,9,7,100,94,88,985,983,982,10,7,3,14,11,,0.00,5,Rain,228
1997-11-7,11,9,7,9,7,4,100,88,66,988,986,983,10,6,2,26,11,,0.00,5,Rain,240
1997-11-8,11,9,8,9,6,3,94,79,58,987,983,979,10,10,6,42,29,61,0.00,5,Rain,202
1997-11-9,9,7,5,6,4,3,93,83,76,987,984,981,10,10,10,29,19,48,0.00,4,Rain,208
1997-11-10,10,7,4,6,4,3,93,86,66,989,988,986,10,10,8,27,13,,0.00,2,,204
1997-11-11,11,7,3,5,4,2,100,86,67,996,992,989,10,5,0,21,10,,0.00,4,Fog,230
1997-11-12,10,6,1,6,3,1,100,86,66,1004,1001,997,10,10,10,14,6,,0.00,0,Fog,264
1997-11-13,8,4,1,5,3,1,100,91,76,1006,1004,1003,10,7,4,14,8,,0.00,1,Fog-Rain,224
1997-11-14,12,6,1,11,4,-1,100,93,87,1009,1008,1006,10,4,0,23,10,,0.00,4,Fog-Rain,211
1997-11-15,13,12,12,13,12,11,100,95,88,1012,1011,1009,10,3,0,21,11,,0.00,6,Fog-Rain,207
1997-11-16,14,13,13,13,12,10,100,92,82,1013,1012,1010,10,7,0,23,14,,0.00,6,Fog-Rain,190
1997-11-17,13,12,12,12,11,10,100,92,88,1012,1009,1004,10,8,1,34,16,,0.00,6,Fog-Rain,161
1997-11-18,12,10,9,11,9,5,100,90,76,1004,1001,999,10,7,3,27,24,45,0.00,5,Rain,159
1997-11-19,12,10,9,10,9,7,100,92,87,999,994,991,10,7,4,26,18,,0.00,5,Rain,157
1997-11-20,10,9,8,9,7,6,100,90,82,996,989,985,10,9,4,34,19,,0.00,5,Rain,189
1997-11-21,10,7,4,6,4,3,100,89,71,1008,1003,997,10,8,0,23,11,,0.00,3,Fog-Rain-Thunderstorm,176
1997-11-22,10,7,3,7,5,2,100,91,82,1015,1012,1008,10,6,0,14,8,,0.00,2,Fog-Rain,138
1997-11-23,9,7,4,7,5,3,100,90,81,1016,1015,1014,10,5,0,24,11,,0.00,4,Fog-Rain,145
1997-11-24,7,6,5,6,5,3,93,92,87,1013,1009,1004,10,8,4,27,23,,0.00,6,,130
1997-11-25,8,6,4,8,5,3,100,93,87,1004,1002,1001,10,4,2,26,18,,0.00,6,,113
1997-11-26,10,9,8,8,7,7,93,91,87,1006,1005,1004,8,6,4,19,11,,0.00,4,Rain,90
1997-11-27,10,9,8,10,8,7,100,97,93,1008,1006,1005,10,4,0,16,11,,0.00,6,Fog-Rain,189
1997-11-28,11,9,8,10,8,7,100,92,76,1007,999,996,10,7,1,29,18,47,0.00,6,Fog-Rain,175
1997-11-29,10,9,8,8,7,5,100,87,76,1001,998,996,10,9,5,34,29,,0.00,5,Rain,262
1997-11-30,9,4,1,7,4,0,93,88,76,1017,1011,1001,10,9,4,39,27,,0.00,6,Rain,335
1997-12-1,4,2,0,2,1,-1,100,93,87,1017,1013,1007,10,5,2,16,8,,0.00,3,Fog-Rain-Snow,60
1997-12-2,2,1,0,0,-1,-2,100,93,81,1014,1009,1007,10,6,1,26,19,,0.00,4,Fog-Rain-Snow,356
1997-12-3,3,1,-1,2,0,-1,100,94,87,1020,1017,1014,9,6,4,21,18,,0.00,5,,346
1997-12-4,4,2,0,2,1,-1,100,94,87,1023,1022,1020,10,7,4,21,14,,0.00,4,,349
1997-12-5,3,1,-1,1,-1,-2,93,88,81,1023,1022,1020,10,7,5,16,10,,0.00,0,,234
1997-12-6,9,6,2,6,3,0,93,81,71,1020,1017,1015,10,10,10,35,18,,0.00,5,,226
1997-12-7,9,7,6,8,5,3,93,85,76,1015,1008,999,10,9,3,29,19,,0.00,5,Rain,193
1997-12-8,11,9,7,8,7,4,93,84,71,1000,997,995,10,10,6,29,23,52,0.00,5,Rain,218
1997-12-9,12,9,7,10,7,4,94,89,81,1004,1002,1000,10,10,8,32,21,47,0.00,4,Rain,225
1997-12-10,13,11,9,12,9,8,94,87,77,1003,998,993,10,9,4,55,29,82,0.00,4,Rain,235
1997-12-11,12,9,6,10,8,5,100,90,82,1004,998,994,10,9,3,45,24,60,0.00,5,Rain,244
1997-12-12,7,4,3,5,3,1,93,89,81,1028,1019,1005,10,10,10,37,29,,0.00,3,Rain,318
1997-12-13,7,3,1,5,3,0,100,92,87,1031,1030,1027,,,,23,16,,0.00,,,270
1997-12-14,7,4,3,6,4,2,100,95,93,1032,1031,1030,10,7,2,19,13,,0.00,3,,355
1997-12-15,3,2,2,2,2,0,100,92,87,1032,1032,1030,10,9,8,35,19,,0.00,5,Rain,51
1997-12-16,2,0,-1,0,-1,-2,100,93,87,1030,1020,1012,10,9,5,48,37,63,0.00,6,Snow,77
1997-12-17,4,1,-1,3,0,-1,100,98,93,1011,1003,998,10,5,1,53,35,63,0.00,7,Rain-Snow,96
1997-12-18,8,6,4,8,6,4,100,96,93,997,995,994,5,2,0,37,26,,0.00,7,Fog-Rain,121
1997-12-19,8,7,6,8,6,5,100,97,93,997,995,994,9,1,0,14,6,,0.00,6,Fog,268
1997-12-20,7,6,5,7,6,5,100,96,93,1009,1003,997,10,5,0,11,6,,0.00,7,Fog,25
1997-12-21,5,3,2,5,3,1,100,97,93,1014,1012,1009,0,0,0,11,6,,0.00,8,Fog,118
1997-12-22,5,4,3,5,4,3,100,96,93,1014,1012,1011,8,4,0,23,13,,0.00,8,Fog-Rain,128
1997-12-23,12,8,5,11,7,4,100,96,93,1014,1012,1011,10,5,0,32,16,,0.00,6,Fog-Rain,188
1997-12-24,12,11,10,12,10,7,100,92,82,1013,1009,1002,10,8,3,53,27,77,0.00,4,Rain,215
1997-12-25,9,7,6,8,7,5,93,88,81,1007,999,993,10,9,5,52,32,82,0.00,3,Rain,216
1997-12-26,7,6,5,5,4,4,93,89,87,1004,998,993,10,10,10,50,35,69,0.00,4,Rain,269
1997-12-27,6,4,3,5,3,2,100,92,87,1011,1007,1004,10,9,3,29,21,,0.00,5,Rain,282
1997-12-28,6,3,0,5,3,-1,100,93,87,1011,1008,1006,10,9,7,40,18,,0.00,4,Rain,250
1997-12-29,7,4,2,6,4,1,100,96,93,1008,1007,1005,10,8,4,21,14,,0.00,5,Fog,208
1997-12-30,10,8,6,8,6,5,100,91,76,1004,1000,992,10,7,0,32,19,50,0.00,5,Fog-Rain,188
1997-12-31,10,6,2,9,4,1,94,86,76,1008,1000,991,10,9,7,37,24,,0.00,3,Rain,226
1998-1-1,8,4,1,6,3,0,93,90,81,1008,999,985,10,10,4,47,19,71,0.00,4,Fog-Rain,200
1998-1-2,8,7,5,7,4,3,100,87,81,995,984,974,10,9,4,45,24,52,0.00,4,Rain,238
1998-1-3,11,7,3,10,4,-1,94,85,70,998,988,980,10,9,5,55,34,80,0.00,4,Rain,230
1998-1-4,7,4,2,5,2,1,93,84,71,999,988,977,10,10,5,74,32,101,0.00,5,Rain,221
1998-1-5,5,3,1,3,1,0,100,87,76,1003,992,986,10,9,3,50,35,69,0.00,4,Rain-Snow,245
1998-1-6,12,6,0,9,3,-1,100,91,44,1009,1005,1001,10,6,1,32,21,42,0.00,5,Fog-Rain,208
1998-1-7,8,6,4,7,4,1,93,84,71,1008,1003,1000,10,10,10,45,24,60,0.00,4,Rain-Thunderstorm,227
1998-1-8,11,7,4,9,6,2,93,85,76,1016,1011,1008,10,10,7,47,26,71,0.00,4,Rain,223
1998-1-9,13,11,9,10,8,6,94,85,77,1022,1020,1016,10,10,10,34,27,50,0.00,4,,214
1998-1-10,12,9,6,9,7,5,100,91,77,1021,1019,1017,9,6,1,19,14,,0.00,1,Fog,192
1998-1-11,9,7,4,8,6,4,100,94,87,1017,1013,1011,10,6,1,24,14,,0.00,3,Fog,180
1998-1-12,10,9,9,9,8,8,100,94,87,1013,1011,1006,10,7,4,19,14,,0.00,7,,188
1998-1-13,10,8,7,8,7,6,100,92,87,1006,998,988,10,7,4,29,18,,0.00,5,Rain,133
1998-1-14,8,6,4,8,4,2,100,87,76,1011,1000,986,10,9,1,40,26,64,0.00,5,Rain,260
1998-1-15,10,7,4,7,6,2,100,89,76,1010,1005,1003,10,10,5,40,23,,0.00,4,Rain,221
1998-1-16,7,4,3,5,3,1,93,88,81,1021,1009,1001,10,10,10,37,21,,0.00,4,Rain,282
1998-1-17,8,6,3,6,4,1,100,87,76,1022,1018,1011,10,10,10,29,18,,0.00,5,Rain,235
1998-1-18,8,7,5,7,5,4,100,92,87,1010,991,983,10,8,1,50,29,85,0.00,6,Fog-Rain,217
1998-1-19,6,3,0,5,1,-2,100,87,75,1017,1003,985,10,10,10,39,34,61,0.00,4,Rain,332
1998-1-20,3,1,-1,0,-2,-3,93,86,80,1034,1027,1017,10,10,10,42,26,,0.00,2,,331
1998-1-21,4,1,-1,2,1,-1,100,88,81,1035,1034,1032,10,9,6,11,10,,0.00,6,,171
1998-1-22,5,2,-1,3,1,-3,100,92,86,1032,1031,1029,10,7,3,19,10,,0.00,5,,148
1998-1-23,2,-1,-3,1,-1,-4,100,91,86,1032,1031,1030,10,8,4,24,13,,0.00,6,,60
1998-1-24,5,3,1,3,1,-1,100,90,81,1033,1033,1032,10,9,0,32,19,,0.00,4,Fog,21
1998-1-25,3,1,0,0,-1,-1,93,85,81,1033,1032,1032,10,10,10,35,24,45,0.00,6,,37
1998-1-26,4,1,-1,1,-1,-2,100,89,75,1034,1032,1029,10,10,10,29,19,,0.00,5,,55
1998-1-27,3,1,0,2,1,0,100,94,87,1029,1024,1022,10,10,6,19,11,,0.00,6,Snow,36
1998-1-28,2,0,-2,0,-2,-4,93,90,81,1022,1021,1021,10,7,4,13,8,,0.00,4,,7
1998-1-29,5,3,1,4,2,0,100,94,81,1024,1023,1022,10,4,0,13,8,,0.00,7,Fog,27
1998-1-30,6,3,1,4,2,0,100,92,81,1022,1020,1018,10,5,0,11,5,,0.00,6,Fog,345
1998-1-31,5,2,-2,2,1,-4,100,88,76,1021,1019,1018,10,8,3,21,10,,0.00,6,,60
1998-2-1,0,-2,-4,-1,-3,-6,93,91,86,1020,1017,1015,10,10,10,11,8,,0.00,4,,26
1998-2-2,5,2,0,3,1,-2,100,88,81,1015,1012,1010,10,6,0,26,13,,0.00,3,Fog,310